Timestamp,Iteration,Coverage_Metric,New_Paths_Found
2026-03-24 15:19:37,2.0,2.0,2.0,18
2026-03-24 15:19:48,2.0,2.0,2.0,19
2026-03-24 15:20:00,2.0,2.0,2.0,20
2026-03-24 15:20:11,4.0,4.0,4.0,21
2026-03-24 15:20:22,4.0,4.0,4.0,22
2026-03-24 15:20:34,4.0,4.0,4.0,23
2026-03-24 15:20:45,4.0,4.0,4.0,24
2026-03-24 15:20:58,4.0,4.0,4.0,25
2026-03-24 15:21:27,4.0,4.0,4.0,26
2026-03-24 15:21:39,4.0,4.0,4.0,27
2026-03-24 15:21:50,4.0,4.0,4.0,28
2026-03-24 15:22:02,4.0,4.0,4.0,29
2026-03-24 15:22:13,4.0,4.0,4.0,30
2026-03-24 15:22:25,4.0,4.0,4.0,31
2026-03-24 15:22:37,4.0,4.0,4.0,32
2026-03-24 15:22:48,4.0,4.0,4.0,33
2026-03-24 15:23:00,4.0,4.0,4.0,34
2026-03-24 15:23:11,4.0,4.0,4.0,35
2026-03-24 15:23:23,4.0,4.0,4.0,36
2026-03-24 15:23:34,4.0,4.0,4.0,37
2026-03-24 15:23:46,4.0,4.0,4.0,38
2026-03-24 15:23:57,4.0,4.0,4.0,39
2026-03-24 15:24:08,4.0,4.0,4.0,40
2026-03-24 15:24:20,4.0,4.0,4.0,41
2026-03-24 15:24:32,4.0,4.0,4.0,42
2026-03-24 15:24:43,4.0,4.0,4.0,43
2026-03-24 15:24:55,4.0,4.0,4.0,44
2026-03-24 15:25:06,4.0,4.0,4.0,45
2026-03-24 15:25:17,4.0,4.0,4.0,46
2026-03-24 15:25:29,4.0,4.0,4.0,47
2026-03-24 15:25:29,6.0,6.0,6.0,48
2026-03-24 15:25:40,6.0,6.0,6.0,49
2026-03-24 15:25:52,6.0,6.0,6.0,50
2026-03-24 15:26:04,6.0,6.0,6.0,51
2026-03-24 15:26:33,6.0,6.0,6.0,52
2026-03-24 15:26:45,6.0,6.0,6.0,53
2026-03-24 15:26:56,6.0,6.0,6.0,54
2026-03-24 15:27:08,6.0,6.0,6.0,55
2026-03-24 15:27:19,6.0,6.0,6.0,56
2026-03-24 15:27:31,6.0,6.0,6.0,57
2026-03-24 15:27:42,6.0,6.0,6.0,58
2026-03-24 15:27:53,6.0,6.0,6.0,59
2026-03-24 15:28:05,6.0,6.0,6.0,60
2026-03-24 15:28:16,6.0,6.0,6.0,61
2026-03-24 15:28:27,6.0,6.0,6.0,62
2026-03-24 15:28:39,6.0,6.0,6.0,63
2026-03-24 15:28:50,6.0,6.0,6.0,64
2026-03-24 15:29:02,6.0,6.0,6.0,65
2026-03-24 15:29:02,6.0,6.0,6.0,66
2026-03-24 15:29:13,6.0,6.0,6.0,67
2026-03-24 15:29:25,6.0,6.0,6.0,68
2026-03-24 15:29:37,6.0,6.0,6.0,69
2026-03-24 15:29:48,6.0,6.0,6.0,70
2026-03-24 15:30:00,8.0,8.0,8.0,71
2026-03-24 15:30:11,8.0,8.0,8.0,72
2026-03-24 15:30:23,8.0,8.0,8.0,73
2026-03-24 15:30:34,8.0,8.0,8.0,74
2026-03-24 15:30:45,8.0,8.0,8.0,75
2026-03-24 15:30:57,8.0,8.0,8.0,76
2026-03-24 15:31:09,8.0,8.0,8.0,77
2026-03-24 15:31:38,8.0,8.0,8.0,78
2026-03-24 15:31:50,8.0,8.0,8.0,79
2026-03-24 15:32:01,8.0,8.0,8.0,80
2026-03-24 15:32:13,8.0,8.0,8.0,81
2026-03-24 15:32:24,8.0,8.0,8.0,82
2026-03-24 15:32:24,8.0,8.0,8.0,83
2026-03-24 15:32:35,8.0,8.0,8.0,84
2026-03-24 15:32:47,8.0,8.0,8.0,85
2026-03-24 15:32:58,8.0,8.0,8.0,86
2026-03-24 15:33:10,8.0,8.0,8.0,87
2026-03-24 15:33:21,8.0,8.0,8.0,88
2026-03-24 15:33:33,8.0,8.0,8.0,89
2026-03-24 15:33:44,8.0,8.0,8.0,90
2026-03-24 15:33:55,8.0,8.0,8.0,91
2026-03-24 15:34:07,8.0,8.0,8.0,92
2026-03-24 15:34:18,8.0,8.0,8.0,93
2026-03-24 15:34:30,8.0,8.0,8.0,94
2026-03-24 15:34:41,8.0,8.0,8.0,95
2026-03-24 15:34:53,8.0,8.0,8.0,96
2026-03-24 15:35:04,8.0,8.0,8.0,97
2026-03-24 15:35:15,8.0,8.0,8.0,98
2026-03-24 15:35:27,8.0,8.0,8.0,99
2026-03-24 15:35:38,8.0,8.0,8.0,100
2026-03-25 21:58:34,2.0,2.0,2.0,1,proxy
2026-03-25 22:05:06,2.0,2.0,2.0,1,proxy
