behavioral_metric,binary_branch_coverage,binary_coverage_data_valid,binary_coverage_source,binary_function_coverage,binary_instrumentation_error,binary_statement_coverage,branch_coverage,coverage_data_valid,coverage_source,execution_metric,function_coverage,iteration,new_path_found,reference_branch_coverage,reference_coverage_data_valid,reference_coverage_source,reference_function_coverage,reference_instrumentation_error,reference_statement_coverage,run_id,statement_coverage,target,timestamp,total_inputs,tracking_mode
142.0,,,,,,,52.17,,instrumented,47.0,51.41,431,False,,,,,,,20260409_151209,51.08,json_decoder,2026-04-09 07:25:07.404000+00:00,431,code_execution
18.0,,,,,,,42.75,,instrumented,20.0,43.82,48,False,,,,,,,20260409_130402,44.27,json_decoder,2026-04-09 05:05:26.548000+00:00,48,code_execution
14.0,,,,,,,45.65,,proxy,200.0,45.82,55,False,,,,,,,20260414_133605,45.82,json_decoder,2026-04-14 05:37:17.118000+00:00,55,code_execution
6.0,,,,,,,34.78,,instrumented,165.0,36.44,20,True,,,,,,,20260414_151303,37.15,json_decoder,2026-04-14 07:13:31.733000+00:00,20,code_execution
13.0,,,,,,,13.0,,proxy,14.0,13.0,35,True,,,,,,,20260409_130402,13.0,json_decoder,2026-04-09 05:05:11.607000+00:00,35,code_execution
25.0,,,,,,,43.48,,instrumented,21.0,42.95,38,True,,,,,,,20260414_212124,42.72,json_decoder,2026-04-14 13:22:40.117000+00:00,38,code_execution
15.0,,,,,,,15.0,,proxy,0.0,15.0,17,True,,,,,,,20260409_120201,15.0,cidrize,2026-04-09 04:05:45.185000+00:00,17,code_execution
21.0,,,,,,,38.41,,instrumented,194.0,38.83,93,False,,,,,,,20260414_160159,39.01,json_decoder,2026-04-14 08:03:50.622000+00:00,93,code_execution
223.0,,,,,,,53.62,,instrumented,47.0,52.71,806,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 06:00:40.238000+00:00,806,code_execution
123.0,,,,,,,123.0,,proxy,0.0,123.0,137,True,,,,,,,20260409_141821,123.0,cidrize,2026-04-09 06:44:09.291000+00:00,137,code_execution
3.0,,,,,,,26.81,,instrumented,153.0,29.28,9,False,,,,,,,20260414_151303,30.34,json_decoder,2026-04-14 07:13:19.864000+00:00,9,code_execution
216.0,,,,,,,53.62,,instrumented,47.0,52.71,754,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:59:22.635000+00:00,754,code_execution
16.0,,,,,,,44.2,,instrumented,26.0,45.55,124,False,,,,,,,20260416_143405,46.13,json_decoder,2026-04-16 06:35:44.445000+00:00,124,code_execution
18.0,,,,,,,18.0,,proxy,14.0,18.0,36,False,,,,,,,20260409_123226,18.0,json_decoder,2026-04-09 04:33:59.954000+00:00,36,code_execution
126.0,,,,,,,50.0,,instrumented,42.0,50.11,375,False,,,,,,,20260409_151209,50.15,json_decoder,2026-04-09 07:23:48.899000+00:00,375,code_execution
170.0,,,,,,,53.62,,instrumented,49.0,52.28,545,False,,,,,,,20260409_151209,51.7,json_decoder,2026-04-09 07:27:49.940000+00:00,545,code_execution
100.0,,,,,,,49.28,,instrumented,39.0,49.24,276,False,,,,,,,20260409_151209,49.23,json_decoder,2026-04-09 07:21:26.601000+00:00,276,code_execution
62.0,,,,,,,46.38,,instrumented,25.0,46.85,274,False,,,,,,,20260418_183800,47.06,json_decoder,2026-04-18 10:42:56.027000+00:00,274,code_execution
11.0,,,,,,,35.51,,instrumented,15.0,37.53,23,False,,,,,,,20260409_151209,38.39,json_decoder,2026-04-09 07:15:13.133000+00:00,23,code_execution
5.0,,,,,,,85.0,,instrumented,0.0,85.0,11,False,,,,,,,20260418_182807,85.0,ipv4_parser,2026-04-18 10:30:22.187000+00:00,11,code_execution
52.0,,,,,,,51.45,,instrumented,32.0,50.54,148,False,,,,,,,20260409_130402,50.15,json_decoder,2026-04-09 05:06:47.642000+00:00,148,code_execution
92.0,,,,,,,50.72,,instrumented,39.0,50.33,255,False,,,,,,,20260409_133542,50.15,json_decoder,2026-04-09 05:45:27.852000+00:00,255,code_execution
9.0,,,,,,,15.94,,whitebox_target,133.0,19.74,25,True,,,,,,,20260418_111038,21.36,json_decoder,2026-04-18 03:11:15.347000+00:00,25,code_execution
7.0,,,,,,,26.09,,instrumented,8.0,28.63,25,True,,,,,,,20260409_020552,29.72,json_decoder,2026-04-08 18:06:26.895000+00:00,25,code_execution
173.0,,,,,,,53.62,,instrumented,47.0,52.71,572,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:54:19.586000+00:00,572,code_execution
7.0,,,,,,,28.26,,instrumented,12.0,29.72,14,False,,,,,,,20260409_151209,30.34,json_decoder,2026-04-09 07:14:58.603000+00:00,14,code_execution
