corpus_size,elapsed_s,iteration,run_id,runs_per_sec,target,timestamp,unique_bugs
31,15.928982499986887,50,20260418_125757,3.1389324459387886,json_decoder,2026-04-18 04:58:14.247000+00:00,1
6,12.008532166015357,50,20260417_192418,4.163706213945288,json_decoder,2026-04-17 11:24:31.677000+00:00,1
0,95.52018491597846,100,20260416_143406,1.046899145850294,json_decoder,2026-04-16 06:35:41.986000+00:00,3
8,42.51622337498702,50,20260417_183227,1.1760216696343684,json_decoder,2026-04-17 10:33:09.981000+00:00,3
31,60.29700000002049,50,20260418_121911,0.8292286515080851,json_decoder,2026-04-18 04:20:11.923000+00:00,1
9,54.027363208006136,300,20260417_192418,5.552741836483777,json_decoder,2026-04-17 11:25:13.365000+00:00,2
36,112.81087512499653,450,20260417_194452,3.988977122120467,json_decoder,2026-04-17 11:46:45.237000+00:00,3
33,58.14247591700405,300,20260417_195441,5.159738990617418,json_decoder,2026-04-17 11:55:40.307000+00:00,2
32,24.08554658293724,100,20260418_125757,4.1518675798224285,json_decoder,2026-04-18 04:58:22.387000+00:00,1
8,86.07658475008793,200,20260417_180445,2.3235122603978047,json_decoder,2026-04-17 10:06:12.950000+00:00,30
13,106.41679433302488,450,20260417_183227,4.228655850990515,json_decoder,2026-04-17 10:34:13.906000+00:00,3
33,58.49092050001491,100,20260417_194452,1.7096670584962756,json_decoder,2026-04-17 11:45:50.922000+00:00,2
10,64.5546758340206,100,20260417_175644,1.5490744660714346,json_decoder,2026-04-17 09:57:49.028000+00:00,4
43,75.8683769160416,50,20260416_183234,0.6590361100690426,json_decoder,2026-04-16 10:33:52.094000+00:00,2
12,112.89005458401516,400,20260417_175644,3.5432704986630292,json_decoder,2026-04-17 09:58:37.353000+00:00,4
0,82.33402858301997,50,20260414_234106,0.607282321301495,json_decoder,2026-04-14 15:42:30.123000+00:00,3
33,32.56716166599654,150,20260418_125757,4.605866533239076,json_decoder,2026-04-18 04:58:31.490000+00:00,2
12,94.01305312500335,450,20260417_181623,4.786569365018523,json_decoder,2026-04-17 10:17:58.249000+00:00,3
9,35.39891991694458,100,20260417_181623,2.8249449484511673,json_decoder,2026-04-17 10:16:59.722000+00:00,1
32,19.903031666064635,50,20260417_230638,2.512180095922359,json_decoder,2026-04-17 15:06:58.319000+00:00,1
